"No.","Time","Source","Destination","Protocol","Length","Info"
"7495","513.416969912","192.168.1.46","192.168.1.47","UDP","42","56316  >  19722 Len=0"
"7496","513.946006495","192.168.1.47","192.168.1.46","ICMP","70","Destination unreachable (Port unreachable)"
"7501","514.417611017","192.168.1.46","192.168.1.47","UDP","42","56316  >  88 Len=0"
"7503","514.559780510","192.168.1.47","192.168.1.46","ICMP","70","Destination unreachable (Port unreachable)"
"7510","515.418646519","192.168.1.46","192.168.1.47","UDP","42","56316  >  49180 Len=0"
"7514","515.623276150","192.168.1.47","192.168.1.46","ICMP","70","Destination unreachable (Port unreachable)"
"7515","516.419526535","192.168.1.46","192.168.1.47","UDP","42","56316  >  21454 Len=0"
"7516","516.707513705","192.168.1.43","224.0.0.251","MDNS","214","Standard query 0x0000 PTR _homekit._tcp.local, ""QM"" question PTR _companion-link._tcp.local, ""QM"" question PTR _sleep-proxy._udp.local, ""QM"" question PTR Air Julia._companion-link._tcp.local PTR 50-35-10-70.1 Kalanda._sleep-proxy._udp.local OPT"
"7517","516.708932516","fe80::426:7c3a:7184:9ebb","ff02::fb","MDNS","234","Standard query 0x0000 PTR _homekit._tcp.local, ""QM"" question PTR _companion-link._tcp.local, ""QM"" question PTR _sleep-proxy._udp.local, ""QM"" question PTR Air Julia._companion-link._tcp.local PTR 50-35-10-70.1 Kalanda._sleep-proxy._udp.local OPT"
"7518","517.115917992","192.168.1.47","192.168.1.46","ICMP","70","Destination unreachable (Port unreachable)"
"7519","517.419944928","192.168.1.46","192.168.1.47","UDP","42","56316  >  903 Len=0"
"7553","517.975431462","192.168.1.47","192.168.1.46","ICMP","70","Destination unreachable (Port unreachable)"
"7608","518.420457564","192.168.1.46","192.168.1.47","UDP","42","56316  >  17836 Len=0"
"7617","518.555242833","192.168.1.47","192.168.1.46","ICMP","70","Destination unreachable (Port unreachable)"
"7626","518.884645375","192.168.1.46","80.58.61.250","DNS","91","Standard query 0x280e A external-content.duckduckgo.com"
"7627","518.932613809","80.58.61.250","192.168.1.46","DNS","280","Standard query response 0x280e A external-content.duckduckgo.com CNAME icons.duckduckgo.com A 79.125.105.117 A 54.75.239.212 NS ns-1027.awsdns-00.org NS ns-175.awsdns-21.com NS ns-1816.awsdns-35.co.uk NS ns-691.awsdns-22.net"
"7639","519.165648831","192.168.1.1","239.255.255.250","SSDP","367","NOTIFY * HTTP/1.1 "
"7640","519.167603345","192.168.1.1","239.255.255.250","SSDP","367","NOTIFY * HTTP/1.1 "
"7655","519.420993232","192.168.1.46","192.168.1.47","UDP","42","56316  >  34579 Len=0"
"7656","519.472919033","192.168.1.1","239.255.255.250","SSDP","376","NOTIFY * HTTP/1.1 "
"7657","519.474784388","192.168.1.1","239.255.255.250","SSDP","376","NOTIFY * HTTP/1.1 "
"7658","519.477025716","192.168.1.1","239.255.255.250","SSDP","431","NOTIFY * HTTP/1.1 "
"7660","519.780345146","192.168.1.1","239.255.255.250","SSDP","431","NOTIFY * HTTP/1.1 "
"7661","519.782621602","192.168.1.1","239.255.255.250","SSDP","441","NOTIFY * HTTP/1.1 "
"7663","519.881638702","192.168.1.47","192.168.1.46","ICMP","70","Destination unreachable (Port unreachable)"
"7664","520.087617168","192.168.1.1","239.255.255.250","SSDP","441","NOTIFY * HTTP/1.1 "
"7666","520.089461117","192.168.1.49","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"7667","520.393709911","192.168.1.49","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"7669","520.421716425","192.168.1.46","192.168.1.47","UDP","42","56316  >  5632 Len=0"
"7670","520.700937756","192.168.1.49","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"7671","520.738765263","192.168.1.47","192.168.1.46","ICMP","70","Destination unreachable (Port unreachable)"
"7672","521.422488512","192.168.1.46","192.168.1.47","UDP","42","56316  >  34892 Len=0"
"7673","522.028310755","192.168.1.47","192.168.1.46","ICMP","70","Destination unreachable (Port unreachable)"
"7674","522.423069789","192.168.1.46","192.168.1.47","UDP","42","56316  >  1045 Len=0"
"7675","522.543840548","192.168.1.49","224.0.0.251","MDNS","103","Standard query 0x0022 PTR _233637DE._sub._googlecast._tcp.local, ""QM"" question PTR _googlecast._tcp.local, ""QM"" question"
