"No.","Time","Source","Destination","Protocol","Length","Info"
"297","79.260972966","192.168.1.1","239.255.255.250","SSDP","376","NOTIFY * HTTP/1.1 "
"298","79.564314867","192.168.1.1","239.255.255.250","SSDP","376","NOTIFY * HTTP/1.1 "
"299","79.566490581","192.168.1.1","239.255.255.250","SSDP","431","NOTIFY * HTTP/1.1 "
"302","79.871645784","192.168.1.1","239.255.255.250","SSDP","431","NOTIFY * HTTP/1.1 "
"303","79.873952534","192.168.1.1","239.255.255.250","SSDP","441","NOTIFY * HTTP/1.1 "
"304","79.876127379","192.168.1.1","239.255.255.250","SSDP","441","NOTIFY * HTTP/1.1 "
"305","79.877255635","192.168.1.49","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"307","80.178641909","192.168.1.49","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"308","80.485073632","192.168.1.49","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"310","82.328031860","192.168.1.49","224.0.0.251","MDNS","103","Standard query 0x000c PTR _233637DE._sub._googlecast._tcp.local, ""QM"" question PTR _googlecast._tcp.local, ""QM"" question"
"311","82.636440724","192.168.1.34","224.0.0.251","MDNS","405","Standard query response 0x0000 PTR Google-Home-Mini-c9aba702a5ab3451e9503068da1d4368._googlecast._tcp.local TXT, cache flush SRV, cache flush 0 0 8009 c9aba702-a5ab-3451-e950-3068da1d4368.local A, cache flush 192.168.1.34"
"320","87.244089343","192.168.1.47","224.0.0.251","MDNS","152","Standard query 0x0001 PTR _37F83649._sub._googlecast._tcp.local, ""QU"" question PTR _%9E5E7C8F47989526C9BCD95D24084F6F0B27C5ED._sub._googlecast._tcp.local, ""QU"" question PTR _googlecast._tcp.local, ""QU"" question"
"324","88.165599842","192.168.1.47","224.0.0.251","MDNS","152","Standard query 0x0002 PTR _37F83649._sub._googlecast._tcp.local, ""QM"" question PTR _%9E5E7C8F47989526C9BCD95D24084F6F0B27C5ED._sub._googlecast._tcp.local, ""QM"" question PTR _googlecast._tcp.local, ""QM"" question"
"325","88.473262965","192.168.1.34","224.0.0.251","MDNS","420","Standard query response 0x0000 PTR Google-Home-Mini-c9aba702a5ab3451e9503068da1d4368._googlecast._tcp.local TXT, cache flush SRV, cache flush 0 0 8009 c9aba702-a5ab-3451-e950-3068da1d4368.local A, cache flush 192.168.1.34"
"326","88.475279396","192.168.1.34","224.0.0.251","MDNS","405","Standard query response 0x0000 PTR Google-Home-Mini-c9aba702a5ab3451e9503068da1d4368._googlecast._tcp.local TXT, cache flush SRV, cache flush 0 0 8009 c9aba702-a5ab-3451-e950-3068da1d4368.local A, cache flush 192.168.1.34"
"327","89.086588244","192.168.1.47","224.0.0.251","MDNS","152","Standard query 0x0003 PTR _37F83649._sub._googlecast._tcp.local, ""QM"" question PTR _%9E5E7C8F47989526C9BCD95D24084F6F0B27C5ED._sub._googlecast._tcp.local, ""QM"" question PTR _googlecast._tcp.local, ""QM"" question"
"328","89.394867048","192.168.1.34","224.0.0.251","MDNS","420","Standard query response 0x0000 PTR Google-Home-Mini-c9aba702a5ab3451e9503068da1d4368._googlecast._tcp.local TXT, cache flush SRV, cache flush 0 0 8009 c9aba702-a5ab-3451-e950-3068da1d4368.local A, cache flush 192.168.1.34"
"329","89.396893126","192.168.1.34","224.0.0.251","MDNS","405","Standard query response 0x0000 PTR Google-Home-Mini-c9aba702a5ab3451e9503068da1d4368._googlecast._tcp.local TXT, cache flush SRV, cache flush 0 0 8009 c9aba702-a5ab-3451-e950-3068da1d4368.local A, cache flush 192.168.1.34"
"331","90.008242064","192.168.1.49","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"333","90.316147155","192.168.1.49","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"334","90.409070991","192.168.1.49","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"335","93.694288018","192.168.1.34","224.0.0.251","MDNS","81","Standard query 0x0000 PTR _googlerpc._tcp.local, ""QM"" question"
"336","93.695023767","192.168.1.34","224.0.0.251","MDNS","91","Standard query 0x0000 SRV googlerpc._googlerpc._tcp.local, ""QM"" question"
"337","93.696348182","192.168.1.34","224.0.0.251","MDNS","220","Standard query response 0x0000 PTR googlerpc._googlerpc._tcp.local TXT, cache flush SRV, cache flush 0 0 8012 c9aba702-a5ab-3451-e950-3068da1d4368.local A, cache flush 192.168.1.34"
"338","93.697497645","192.168.1.34","224.0.0.251","MDNS","158","Standard query response 0x0000 SRV, cache flush 0 0 8012 c9aba702-a5ab-3451-e950-3068da1d4368.local A, cache flush 192.168.1.34"
"339","93.698268910","192.168.1.34","224.0.0.251","MDNS","82","Standard query 0x0000 PTR _googlezone._tcp.local, ""QM"" question"
"340","93.699825353","192.168.1.34","224.0.0.251","MDNS","268","Standard query response 0x0000 PTR c9aba702-a5ab-3451-e950-3068da1d4368._googlezone._tcp.local TXT, cache flush SRV, cache flush 610 47 10001 c9aba702-a5ab-3451-e950-3068da1d4368.local A, cache flush 192.168.1.34"
"349","99.224943231","192.168.1.1","239.255.255.250","SSDP","367","NOTIFY * HTTP/1.1 "
"350","99.226890128","192.168.1.1","239.255.255.250","SSDP","367","NOTIFY * HTTP/1.1 "
"351","99.532157653","192.168.1.1","239.255.255.250","SSDP","376","NOTIFY * HTTP/1.1 "
"352","99.534042225","192.168.1.1","239.255.255.250","SSDP","376","NOTIFY * HTTP/1.1 "
"353","99.536308046","192.168.1.1","239.255.255.250","SSDP","431","NOTIFY * HTTP/1.1 "
"354","99.839670849","192.168.1.1","239.255.255.250","SSDP","431","NOTIFY * HTTP/1.1 "
"355","99.841897804","192.168.1.1","239.255.255.250","SSDP","441","NOTIFY * HTTP/1.1 "
"356","99.844044639","192.168.1.1","239.255.255.250","SSDP","441","NOTIFY * HTTP/1.1 "
"357","100.145812318","192.168.1.49","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"359","100.147639940","192.168.1.49","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"360","100.452963110","192.168.1.49","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"361","102.295890344","192.168.1.49","224.0.0.251","MDNS","103","Standard query 0x000d PTR _233637DE._sub._googlecast._tcp.local, ""QM"" question PTR _googlecast._tcp.local, ""QM"" question"
"362","102.604275319","192.168.1.34","224.0.0.251","MDNS","405","Standard query response 0x0000 PTR Google-Home-Mini-c9aba702a5ab3451e9503068da1d4368._googlecast._tcp.local TXT, cache flush SRV, cache flush 0 0 8009 c9aba702-a5ab-3451-e950-3068da1d4368.local A, cache flush 192.168.1.34"
"373","109.976765595","192.168.1.47","224.0.0.251","MDNS","152","Standard query 0x0001 PTR _37F83649._sub._googlecast._tcp.local, ""QU"" question PTR _%9E5E7C8F47989526C9BCD95D24084F6F0B27C5ED._sub._googlecast._tcp.local, ""QU"" question PTR _googlecast._tcp.local, ""QU"" question"
"374","109.977899517","192.168.1.49","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"376","110.283381109","192.168.1.49","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"377","110.491751752","192.168.1.49","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"378","110.779657810","192.168.1.47","224.0.0.251","MDNS","152","Standard query 0x0002 PTR _37F83649._sub._googlecast._tcp.local, ""QM"" question PTR _%9E5E7C8F47989526C9BCD95D24084F6F0B27C5ED._sub._googlecast._tcp.local, ""QM"" question PTR _googlecast._tcp.local, ""QM"" question"
"379","110.783339565","192.168.1.34","224.0.0.251","MDNS","420","Standard query response 0x0000 PTR Google-Home-Mini-c9aba702a5ab3451e9503068da1d4368._googlecast._tcp.local TXT, cache flush SRV, cache flush 0 0 8009 c9aba702-a5ab-3451-e950-3068da1d4368.local A, cache flush 192.168.1.34"
"380","110.785679848","192.168.1.34","224.0.0.251","MDNS","405","Standard query response 0x0000 PTR Google-Home-Mini-c9aba702a5ab3451e9503068da1d4368._googlecast._tcp.local TXT, cache flush SRV, cache flush 0 0 8009 c9aba702-a5ab-3451-e950-3068da1d4368.local A, cache flush 192.168.1.34"
"382","111.819361460","192.168.1.47","224.0.0.251","MDNS","152","Standard query 0x0003 PTR _37F83649._sub._googlecast._tcp.local, ""QM"" question PTR _%9E5E7C8F47989526C9BCD95D24084F6F0B27C5ED._sub._googlecast._tcp.local, ""QM"" question PTR _googlecast._tcp.local, ""QM"" question"
"383","112.130191992","192.168.1.34","224.0.0.251","MDNS","420","Standard query response 0x0000 PTR Google-Home-Mini-c9aba702a5ab3451e9503068da1d4368._googlecast._tcp.local TXT, cache flush SRV, cache flush 0 0 8009 c9aba702-a5ab-3451-e950-3068da1d4368.local A, cache flush 192.168.1.34"
"384","112.132217032","192.168.1.34","224.0.0.251","MDNS","405","Standard query response 0x0000 PTR Google-Home-Mini-c9aba702a5ab3451e9503068da1d4368._googlecast._tcp.local TXT, cache flush SRV, cache flush 0 0 8009 c9aba702-a5ab-3451-e950-3068da1d4368.local A, cache flush 192.168.1.34"
"393","119.192949155","192.168.1.1","239.255.255.250","SSDP","367","NOTIFY * HTTP/1.1 "
"394","119.194799713","192.168.1.1","239.255.255.250","SSDP","367","NOTIFY * HTTP/1.1 "
"395","119.500187518","192.168.1.1","239.255.255.250","SSDP","376","NOTIFY * HTTP/1.1 "
"396","119.502120163","192.168.1.1","239.255.255.250","SSDP","376","NOTIFY * HTTP/1.1 "
"398","119.504983977","192.168.1.1","239.255.255.250","SSDP","431","NOTIFY * HTTP/1.1 "
"399","119.807610932","192.168.1.1","239.255.255.250","SSDP","431","NOTIFY * HTTP/1.1 "
"400","119.809764282","192.168.1.1","239.255.255.250","SSDP","441","NOTIFY * HTTP/1.1 "
"401","120.114824123","192.168.1.1","239.255.255.250","SSDP","441","NOTIFY * HTTP/1.1 "
"402","120.115994048","192.168.1.49","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"404","120.175007503","192.168.1.49","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"406","120.473758755","192.168.1.49","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"407","122.263886000","192.168.1.49","224.0.0.251","MDNS","103","Standard query 0x000e PTR _233637DE._sub._googlecast._tcp.local, ""QM"" question PTR _googlecast._tcp.local, ""QM"" question"
"408","122.572298222","192.168.1.34","224.0.0.251","MDNS","405","Standard query response 0x0000 PTR Google-Home-Mini-c9aba702a5ab3451e9503068da1d4368._googlecast._tcp.local TXT, cache flush SRV, cache flush 0 0 8009 c9aba702-a5ab-3451-e950-3068da1d4368.local A, cache flush 192.168.1.34"
"416","129.944081487","192.168.1.49","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"418","130.252048299","192.168.1.49","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"419","130.558514048","192.168.1.49","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"422","131.787250336","192.168.1.47","224.0.0.251","MDNS","152","Standard query 0x0004 PTR _37F83649._sub._googlecast._tcp.local, ""QM"" question PTR _%9E5E7C8F47989526C9BCD95D24084F6F0B27C5ED._sub._googlecast._tcp.local, ""QM"" question PTR _googlecast._tcp.local, ""QM"" question"
"423","132.095498478","192.168.1.34","224.0.0.251","MDNS","420","Standard query response 0x0000 PTR Google-Home-Mini-c9aba702a5ab3451e9503068da1d4368._googlecast._tcp.local TXT, cache flush SRV, cache flush 0 0 8009 c9aba702-a5ab-3451-e950-3068da1d4368.local A, cache flush 192.168.1.34"
"424","132.097594406","192.168.1.34","224.0.0.251","MDNS","405","Standard query response 0x0000 PTR Google-Home-Mini-c9aba702a5ab3451e9503068da1d4368._googlecast._tcp.local TXT, cache flush SRV, cache flush 0 0 8009 c9aba702-a5ab-3451-e950-3068da1d4368.local A, cache flush 192.168.1.34"
"437","139.160884607","192.168.1.1","239.255.255.250","SSDP","367","NOTIFY * HTTP/1.1 "
"438","139.162840650","192.168.1.1","239.255.255.250","SSDP","367","NOTIFY * HTTP/1.1 "
"439","139.468121260","192.168.1.1","239.255.255.250","SSDP","376","NOTIFY * HTTP/1.1 "
"440","139.470082585","192.168.1.1","239.255.255.250","SSDP","376","NOTIFY * HTTP/1.1 "
"441","139.775546918","192.168.1.1","239.255.255.250","SSDP","431","NOTIFY * HTTP/1.1 "
"442","139.777719768","192.168.1.1","239.255.255.250","SSDP","431","NOTIFY * HTTP/1.1 "
"443","139.779944640","192.168.1.1","239.255.255.250","SSDP","441","NOTIFY * HTTP/1.1 "
"444","140.082777041","192.168.1.1","239.255.255.250","SSDP","441","NOTIFY * HTTP/1.1 "
"445","140.083889564","192.168.1.49","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"447","140.388882010","192.168.1.49","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"448","140.696078339","192.168.1.49","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"449","142.538999627","192.168.1.49","224.0.0.251","MDNS","103","Standard query 0x000f PTR _233637DE._sub._googlecast._tcp.local, ""QM"" question PTR _googlecast._tcp.local, ""QM"" question"
"450","142.847426071","192.168.1.34","224.0.0.251","MDNS","405","Standard query response 0x0000 PTR Google-Home-Mini-c9aba702a5ab3451e9503068da1d4368._googlecast._tcp.local TXT, cache flush SRV, cache flush 0 0 8009 c9aba702-a5ab-3451-e950-3068da1d4368.local A, cache flush 192.168.1.34"
"461","149.864184952","192.168.1.49","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"466","150.219246407","192.168.1.49","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"467","150.526447579","192.168.1.49","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"469","152.062380230","192.168.1.47","224.0.0.251","MDNS","152","Standard query 0x0005 PTR _37F83649._sub._googlecast._tcp.local, ""QM"" question PTR _%9E5E7C8F47989526C9BCD95D24084F6F0B27C5ED._sub._googlecast._tcp.local, ""QM"" question PTR _googlecast._tcp.local, ""QM"" question"
"471","152.370652947","192.168.1.34","224.0.0.251","MDNS","420","Standard query response 0x0000 PTR Google-Home-Mini-c9aba702a5ab3451e9503068da1d4368._googlecast._tcp.local TXT, cache flush SRV, cache flush 0 0 8009 c9aba702-a5ab-3451-e950-3068da1d4368.local A, cache flush 192.168.1.34"
"472","152.372726796","192.168.1.34","224.0.0.251","MDNS","405","Standard query response 0x0000 PTR Google-Home-Mini-c9aba702a5ab3451e9503068da1d4368._googlecast._tcp.local TXT, cache flush SRV, cache flush 0 0 8009 c9aba702-a5ab-3451-e950-3068da1d4368.local A, cache flush 192.168.1.34"
"475","159.128817126","192.168.1.1","239.255.255.250","SSDP","367","NOTIFY * HTTP/1.1 "
"476","159.130728053","192.168.1.1","239.255.255.250","SSDP","367","NOTIFY * HTTP/1.1 "
"477","159.436058084","192.168.1.1","239.255.255.250","SSDP","376","NOTIFY * HTTP/1.1 "
"478","159.438048808","192.168.1.1","239.255.255.250","SSDP","376","NOTIFY * HTTP/1.1 "
"479","159.743478870","192.168.1.1","239.255.255.250","SSDP","431","NOTIFY * HTTP/1.1 "
"480","159.745643388","192.168.1.1","239.255.255.250","SSDP","431","NOTIFY * HTTP/1.1 "
"481","159.747881340","192.168.1.1","239.255.255.250","SSDP","441","NOTIFY * HTTP/1.1 "
"482","159.822885999","192.168.1.1","239.255.255.250","SSDP","441","NOTIFY * HTTP/1.1 "
"483","159.898977967","192.168.1.49","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"485","160.188656066","192.168.1.49","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"487","160.485195179","192.168.1.49","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"489","162.506951177","192.168.1.49","224.0.0.251","MDNS","103","Standard query 0x0010 PTR _233637DE._sub._googlecast._tcp.local, ""QM"" question PTR _googlecast._tcp.local, ""QM"" question"
"490","162.815358045","192.168.1.34","224.0.0.251","MDNS","405","Standard query response 0x0000 PTR Google-Home-Mini-c9aba702a5ab3451e9503068da1d4368._googlecast._tcp.local TXT, cache flush SRV, cache flush 0 0 8009 c9aba702-a5ab-3451-e950-3068da1d4368.local A, cache flush 192.168.1.34"
"494","169.917752641","192.168.1.49","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"496","170.207166276","192.168.1.49","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"497","170.505952863","192.168.1.49","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"499","172.030308686","192.168.1.47","224.0.0.251","MDNS","152","Standard query 0x0006 PTR _37F83649._sub._googlecast._tcp.local, ""QM"" question PTR _%9E5E7C8F47989526C9BCD95D24084F6F0B27C5ED._sub._googlecast._tcp.local, ""QM"" question PTR _googlecast._tcp.local, ""QM"" question"
"501","172.338583636","192.168.1.34","224.0.0.251","MDNS","420","Standard query response 0x0000 PTR Google-Home-Mini-c9aba702a5ab3451e9503068da1d4368._googlecast._tcp.local TXT, cache flush SRV, cache flush 0 0 8009 c9aba702-a5ab-3451-e950-3068da1d4368.local A, cache flush 192.168.1.34"
"502","172.340651158","192.168.1.34","224.0.0.251","MDNS","405","Standard query response 0x0000 PTR Google-Home-Mini-c9aba702a5ab3451e9503068da1d4368._googlecast._tcp.local TXT, cache flush SRV, cache flush 0 0 8009 c9aba702-a5ab-3451-e950-3068da1d4368.local A, cache flush 192.168.1.34"
"504","179.096748435","192.168.1.1","239.255.255.250","SSDP","367","NOTIFY * HTTP/1.1 "
"505","179.403945497","192.168.1.1","239.255.255.250","SSDP","367","NOTIFY * HTTP/1.1 "
"506","179.405839326","192.168.1.1","239.255.255.250","SSDP","376","NOTIFY * HTTP/1.1 "
"507","179.407721794","192.168.1.1","239.255.255.250","SSDP","376","NOTIFY * HTTP/1.1 "
"508","179.711404900","192.168.1.1","239.255.255.250","SSDP","431","NOTIFY * HTTP/1.1 "
"510","179.714110069","192.168.1.1","239.255.255.250","SSDP","431","NOTIFY * HTTP/1.1 "
"511","180.018636636","192.168.1.1","239.255.255.250","SSDP","441","NOTIFY * HTTP/1.1 "
"512","180.020757621","192.168.1.1","239.255.255.250","SSDP","441","NOTIFY * HTTP/1.1 "
"513","180.021820903","192.168.1.49","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"516","180.325473129","192.168.1.49","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"517","180.631939476","192.168.1.49","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"518","182.474877591","192.168.1.49","224.0.0.251","MDNS","103","Standard query 0x0011 PTR _233637DE._sub._googlecast._tcp.local, ""QM"" question PTR _googlecast._tcp.local, ""QM"" question"
"519","182.783288230","192.168.1.34","224.0.0.251","MDNS","405","Standard query response 0x0000 PTR Google-Home-Mini-c9aba702a5ab3451e9503068da1d4368._googlecast._tcp.local TXT, cache flush SRV, cache flush 0 0 8009 c9aba702-a5ab-3451-e950-3068da1d4368.local A, cache flush 192.168.1.34"
"524","189.847845345","192.168.1.43","224.0.0.251","MDNS","154","Standard query 0x0000 PTR _homekit._tcp.local, ""QU"" question PTR _companion-link._tcp.local, ""QU"" question PTR _sleep-proxy._udp.local, ""QU"" question OPT"
"525","189.849002425","fe80::426:7c3a:7184:9ebb","ff02::fb","MDNS","174","Standard query 0x0000 PTR _homekit._tcp.local, ""QU"" question PTR _companion-link._tcp.local, ""QU"" question PTR _sleep-proxy._udp.local, ""QU"" question OPT"
"527","190.155108032","192.168.1.49","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"530","190.462305016","192.168.1.49","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"532","190.769508150","192.168.1.49","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"533","190.770825434","192.168.1.43","224.0.0.251","MDNS","214","Standard query 0x0000 PTR _homekit._tcp.local, ""QM"" question PTR _companion-link._tcp.local, ""QM"" question PTR _sleep-proxy._udp.local, ""QM"" question PTR Air Julia._companion-link._tcp.local PTR 50-35-10-70.1 Kalanda._sleep-proxy._udp.local OPT"
"534","190.772260429","fe80::426:7c3a:7184:9ebb","ff02::fb","MDNS","234","Standard query 0x0000 PTR _homekit._tcp.local, ""QM"" question PTR _companion-link._tcp.local, ""QM"" question PTR _sleep-proxy._udp.local, ""QM"" question PTR Air Julia._companion-link._tcp.local PTR 50-35-10-70.1 Kalanda._sleep-proxy._udp.local OPT"
"536","191.804014836","192.168.1.47","224.0.0.251","MDNS","152","Standard query 0x0007 PTR _37F83649._sub._googlecast._tcp.local, ""QM"" question PTR _%9E5E7C8F47989526C9BCD95D24084F6F0B27C5ED._sub._googlecast._tcp.local, ""QM"" question PTR _googlecast._tcp.local, ""QM"" question"
"537","191.999319649","192.168.1.34","224.0.0.251","MDNS","420","Standard query response 0x0000 PTR Google-Home-Mini-c9aba702a5ab3451e9503068da1d4368._googlecast._tcp.local TXT, cache flush SRV, cache flush 0 0 8009 c9aba702-a5ab-3451-e950-3068da1d4368.local A, cache flush 192.168.1.34"
"538","192.001365633","192.168.1.34","224.0.0.251","MDNS","405","Standard query response 0x0000 PTR Google-Home-Mini-c9aba702a5ab3451e9503068da1d4368._googlecast._tcp.local TXT, cache flush SRV, cache flush 0 0 8009 c9aba702-a5ab-3451-e950-3068da1d4368.local A, cache flush 192.168.1.34"
"542","195.254469095","192.168.1.46","80.58.61.250","DNS","85","Standard query 0x4ab8 A raw.githubusercontent.com"
"543","195.301334164","80.58.61.250","192.168.1.46","DNS","208","Standard query response 0x4ab8 A raw.githubusercontent.com CNAME github.map.fastly.net A 151.101.132.133 NS ns1.fastly.net NS ns2.fastly.net NS ns3.fastly.net NS ns4.fastly.net"
"569","195.684339786","192.168.1.34","224.0.0.251","MDNS","81","Standard query 0x0000 PTR _googlerpc._tcp.local, ""QM"" question"
"570","195.685049449","192.168.1.34","224.0.0.251","MDNS","91","Standard query 0x0000 SRV googlerpc._googlerpc._tcp.local, ""QM"" question"
"571","195.686462925","192.168.1.34","224.0.0.251","MDNS","220","Standard query response 0x0000 PTR googlerpc._googlerpc._tcp.local TXT, cache flush SRV, cache flush 0 0 8012 c9aba702-a5ab-3451-e950-3068da1d4368.local A, cache flush 192.168.1.34"
"572","195.687485669","192.168.1.34","224.0.0.251","MDNS","158","Standard query response 0x0000 SRV, cache flush 0 0 8012 c9aba702-a5ab-3451-e950-3068da1d4368.local A, cache flush 192.168.1.34"
"573","195.688210174","192.168.1.34","224.0.0.251","MDNS","82","Standard query 0x0000 PTR _googlezone._tcp.local, ""QM"" question"
"574","195.689746677","192.168.1.34","224.0.0.251","MDNS","268","Standard query response 0x0000 PTR c9aba702-a5ab-3451-e950-3068da1d4368._googlezone._tcp.local TXT, cache flush SRV, cache flush 610 47 10001 c9aba702-a5ab-3451-e950-3068da1d4368.local A, cache flush 192.168.1.34"
"578","199.064666977","192.168.1.1","239.255.255.250","SSDP","367","NOTIFY * HTTP/1.1 "
"579","199.371866915","192.168.1.1","239.255.255.250","SSDP","367","NOTIFY * HTTP/1.1 "
"580","199.373777128","192.168.1.1","239.255.255.250","SSDP","376","NOTIFY * HTTP/1.1 "
"581","199.375760683","192.168.1.1","239.255.255.250","SSDP","376","NOTIFY * HTTP/1.1 "
"582","199.679292972","192.168.1.1","239.255.255.250","SSDP","431","NOTIFY * HTTP/1.1 "
"583","199.681417641","192.168.1.1","239.255.255.250","SSDP","431","NOTIFY * HTTP/1.1 "
"584","199.986568208","192.168.1.1","239.255.255.250","SSDP","441","NOTIFY * HTTP/1.1 "
"585","199.988615158","192.168.1.1","239.255.255.250","SSDP","441","NOTIFY * HTTP/1.1 "
"586","199.989813370","192.168.1.49","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"588","200.293368490","192.168.1.49","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"589","200.599862330","192.168.1.49","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"591","202.442804430","192.168.1.49","224.0.0.251","MDNS","103","Standard query 0x0012 PTR _233637DE._sub._googlecast._tcp.local, ""QM"" question PTR _googlecast._tcp.local, ""QM"" question"
"592","202.751238384","192.168.1.34","224.0.0.251","MDNS","405","Standard query response 0x0000 PTR Google-Home-Mini-c9aba702a5ab3451e9503068da1d4368._googlecast._tcp.local TXT, cache flush SRV, cache flush 0 0 8009 c9aba702-a5ab-3451-e950-3068da1d4368.local A, cache flush 192.168.1.34"
"596","210.122977351","192.168.1.49","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"598","210.430215517","192.168.1.49","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"599","210.737404087","192.168.1.49","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"606","219.032594763","192.168.1.1","239.255.255.250","SSDP","367","NOTIFY * HTTP/1.1 "
"607","219.339788378","192.168.1.1","239.255.255.250","SSDP","367","NOTIFY * HTTP/1.1 "
"608","219.341701444","192.168.1.1","239.255.255.250","SSDP","376","NOTIFY * HTTP/1.1 "
"609","219.647028340","192.168.1.1","239.255.255.250","SSDP","376","NOTIFY * HTTP/1.1 "
"610","219.649104629","192.168.1.1","239.255.255.250","SSDP","431","NOTIFY * HTTP/1.1 "
"611","219.651263538","192.168.1.1","239.255.255.250","SSDP","431","NOTIFY * HTTP/1.1 "
"612","219.954394505","192.168.1.1","239.255.255.250","SSDP","441","NOTIFY * HTTP/1.1 "
"613","219.956775052","192.168.1.1","239.255.255.250","SSDP","441","NOTIFY * HTTP/1.1 "
"614","220.260587384","192.168.1.49","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"616","220.262310836","192.168.1.49","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"617","220.567786451","192.168.1.49","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"619","221.489967530","192.168.1.47","224.0.0.251","MDNS","152","Standard query 0x0001 PTR _37F83649._sub._googlecast._tcp.local, ""QU"" question PTR _%9E5E7C8F47989526C9BCD95D24084F6F0B27C5ED._sub._googlecast._tcp.local, ""QU"" question PTR _googlecast._tcp.local, ""QU"" question"
"620","221.490957796","192.168.1.47","224.0.0.251","MDNS","152","Standard query 0x0001 PTR _37F83649._sub._googlecast._tcp.local, ""QU"" question PTR _%9E5E7C8F47989526C9BCD95D24084F6F0B27C5ED._sub._googlecast._tcp.local, ""QU"" question PTR _googlecast._tcp.local, ""QU"" question"
"626","222.253049630","192.168.1.49","224.0.0.251","MDNS","103","Standard query 0x0013 PTR _233637DE._sub._googlecast._tcp.local, ""QM"" question PTR _googlecast._tcp.local, ""QM"" question"
"627","222.256395544","192.168.1.34","224.0.0.251","MDNS","405","Standard query response 0x0000 PTR Google-Home-Mini-c9aba702a5ab3451e9503068da1d4368._googlecast._tcp.local TXT, cache flush SRV, cache flush 0 0 8009 c9aba702-a5ab-3451-e950-3068da1d4368.local A, cache flush 192.168.1.34"
"629","222.389080912","192.168.1.47","224.0.0.251","MDNS","152","Standard query 0x0002 PTR _37F83649._sub._googlecast._tcp.local, ""QM"" question PTR _%9E5E7C8F47989526C9BCD95D24084F6F0B27C5ED._sub._googlecast._tcp.local, ""QM"" question PTR _googlecast._tcp.local, ""QM"" question"
"630","222.392460992","192.168.1.34","224.0.0.251","MDNS","420","Standard query response 0x0000 PTR Google-Home-Mini-c9aba702a5ab3451e9503068da1d4368._googlecast._tcp.local TXT, cache flush SRV, cache flush 0 0 8009 c9aba702-a5ab-3451-e950-3068da1d4368.local A, cache flush 192.168.1.34"
